Mindmap category,,,,,,,,,Bottom Up,Technology Offerings,Categories,Blips,URL,A/D,O,Research,WA,WA Combined,A/B,DOT,BS,Capacity,Sean,S1,Diptesh,D1,Sudip,S2,Darach,D2,Abhishek,A1,India DoT,Naresh,N1,Dixit 
Tech Stack,Layers,Presentation,Visualization,Legacy ER Venders,Oracle OBIEE,,,,Data layer,Business Intelligence,Platforms,Oracle Business Inteligence Enterprise Edition,https://vox.sapient.com/docs/DOC-118578,,EU,,1.333333333,Hold,Watch,In,50,0,Hold,1,Maintain,4,Watch,2,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Presentation,Visualization,Legacy ER Venders,IBM Cognos,,,,Data layer,Business Intelligence,Platforms,IBM Cognos,https://vox.sapient.com/docs/DOC-118577,,EU,,2,Watch,Watch,Static,50,0,Maintain,4,Invest,3,No Opinion ,0,Maintain,4,Hold,1,,No Opinion,0,
Tech Stack,Layers,Presentation,Visualization,Legacy ER Venders,MicroStrategy?,,,,Presentation layer,Business Intelligence,Languages and Frameworks,D3,https://vox.sapient.com/docs/DOC-118576,,EU,TW-Jan14-Adopt,2.333333333,Watch,Invest,Out,50,0,Maintain,4,Invest,3,No Opinion ,0,Maintain,4,Invest,3,,No Opinion,0,
,,,,,,,,,Business services,Next Generation Platform,Techniques,Mircoservice architectures,https://vox.sapient.com/docs/DOC-119775,,,,,,Watch,In,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Service,API's,Web Services,REST,Documentation,Swagger,,Business services,Next Generation Platform,Tools,Swagger.io,https://vox.sapient.com/docs/DOC-119804,,EU,TW-Jan14-Adopt,1.666666667,Watch,Invest,Static,50,0,Invest,3,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,Maintain,4,
Tech Stack,Layers,Service,API's,Web Services,REST,Documentation,I/O Docs,,Business services,Next Generation Platform,Tools,I/O Docs,,,EU,,1,Hold,Watch,Out,50,0,Invest,3,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Web Services,REST,Documentation,Apiary.io,,Business services,Other,Tools,Apiary.io,https://vox.sapient.com/docs/DOC-118588?sr=stream,,EU,,0.5,Hold,Watch,In,50,0,No Opinion,0,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Web Services,REST,Testing,Pact & Pacto,,Business services,Other,Tools,Pact & Pacto,https://vox.sapient.com/docs/DOC-118305?sr=stream,,EU,TW-Jul14-Trial,1.5,Maintain,Watch,Out,50,0,Invest,3,Watch,2,No Opinion ,0,Invest,3,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Web Services,REST,Testing,Mockable.io,,Business services,Other,Tools,Mockable.io,https://vox.sapient.com/docs/DOC-118586,,EU,,1.5,Maintain,Watch,Out,50,0,No Opinion,0,Maintain,4,Maintain,4,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Web Services,REST,Testing,SOAP UI,,Business services,Other,Tools,SOAP UI,https://vox.sapient.com/docs/DOC-118587,,EU,,1.5,Maintain,Watch,In,50,0,Invest,3,Watch,2,No Opinion ,0,No Opinion ,0,Watch,2,,Watch,2,
